You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CRAB, BLUE,,,,
Year,State,Species,Metric Tons,Pounds,$
1950,Alabama,"CRAB, BLUE",271.50,598500.00,25859.00
1950,Alabama,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,61.00
1950,Connecticut,"CRAB, BLUE",0.50,1100.00,258.00
1950,Connecticut,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,94.00
1950,Delaware,"CRAB, BLUE",2001.10,4411600.00,215240.00
1950,Delaware,"CRAB, BLUE, SOFT AND PEELER",4.30,9500.00,3025.00
1950,Florida East Coast,"CRAB, BLUE",2486.80,5482400.00,274120.00
1950,Florida West Coast,"CRAB, BLUE",310.30,684100.00,27354.00
1950,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,300.00,36.00
1950,Georgia,"CRAB, BLUE",2280.50,5027600.00,194834.00
1950,Louisiana,"CRAB, BLUE",5945.00,13106400.00,598623.00
1950,Louisiana,"CRAB, BLUE, SOFT AND PEELER",164.70,363100.00,164425.00
1950,Maryland,"CRAB, BLUE",12484.00,27522300.00,789901.00
1950,Maryland,"CRAB, BLUE, SOFT AND PEELER",1314.60,2898100.00,428160.00
1950,Mississippi,"CRAB, BLUE",1832.60,4040100.00,202005.00
1950,New Jersey,"CRAB, BLUE",966.80,2131400.00,208560.00
1950,New Jersey,"CRAB, BLUE, SOFT AND PEELER",6.20,13700.00,4390.00
1950,New York,"CRAB, BLUE",3.80,8300.00,2335.00
1950,North Carolina,"CRAB, BLUE",3030.30,6680500.00,266888.00
1950,North Carolina,"CRAB, BLUE, SOFT AND PEELER",94.70,208800.00,24753.00
1950,South Carolina,"CRAB, BLUE",1301.40,2869100.00,86073.00
1950,South Carolina,"CRAB, BLUE, SOFT AND PEELER",1.30,2800.00,559.00
1950,Texas,"CRAB, BLUE",175.70,387300.00,30184.00
1950,Virginia,"CRAB, BLUE",21045.00,46395700.00,1861715.00
1950,Virginia,"CRAB, BLUE, SOFT AND PEELER",1465.30,3230300.00,471720.00
1951,Alabama,"CRAB, BLUE",503.10,1109100.00,46031.00
1951,Alabama,"CRAB, BLUE, SOFT AND PEELER",0.10,300.00,148.00
1951,Connecticut,"CRAB, BLUE",0.80,1800.00,455.00
