You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CLAM, SOFTSHELL,,,,
Year,State,Species,Metric Tons,Pounds,$
1950,Connecticut,"CLAM, SOFTSHELL",1.7,3700,1293
1950,Maine,"CLAM, SOFTSHELL",3119.3,6876900,1184370
1950,Massachusetts,"CLAM, SOFTSHELL",688.7,1518200,625250
1950,New Hampshire,"CLAM, SOFTSHELL",3.4,7500,2000
1950,New Jersey,"CLAM, SOFTSHELL",204.1,450000,157500
1950,New York,"CLAM, SOFTSHELL",14.9,32800,14315
1950,Rhode Island,"CLAM, SOFTSHELL",227.1,500700,174005
1951,Connecticut,"CLAM, SOFTSHELL",0.6,1400,584
1951,Maine,"CLAM, SOFTSHELL",2322.7,5120600,1186937
1951,Maryland,"CLAM, SOFTSHELL",732.3,1614500,179300
1951,Massachusetts,"CLAM, SOFTSHELL",768.3,1693900,731897
1951,New Hampshire,"CLAM, SOFTSHELL",1,2200,687
1951,New Jersey,"CLAM, SOFTSHELL",170.6,376000,146640
1951,New York,"CLAM, SOFTSHELL",17.7,39100,17136
1951,Rhode Island,"CLAM, SOFTSHELL",78.8,173800,66330
1952,Connecticut,"CLAM, SOFTSHELL",0.2,400,153
1952,Maine,"CLAM, SOFTSHELL",2505,5522600,1673347
1952,Maryland,"CLAM, SOFTSHELL",114.3,252000,173600
1952,Massachusetts,"CLAM, SOFTSHELL",520.3,1147100,541134
1952,New Jersey,"CLAM, SOFTSHELL",135.2,298000,117710
1952,New York,"CLAM, SOFTSHELL",13.1,28800,15900
1952,Rhode Island,"CLAM, SOFTSHELL",37.6,83000,32133
1953,Connecticut,"CLAM, SOFTSHELL",0.1,300,98
1953,Maine,"CLAM, SOFTSHELL",1881.5,4148000,1382161
1953,Maryland,"CLAM, SOFTSHELL",1256,2768900,393520
1953,Massachusetts,"CLAM, SOFTSHELL",429.1,946100,564307
1953,New Jersey,"CLAM, SOFTSHELL",87.1,192000,67200
1953,New York,"CLAM, SOFTSHELL",14.7,32400,20845
1953,Rhode Island,"CLAM, SOFTSHELL",15.1,33200,15277
1954,Connecticut,"CLAM, SOFTSHELL",0.1,200,73
1954,Maine,"CLAM, SOFTSHELL",1688.2,3721900,1360436
1954,Maryland,"CLAM, SOFTSHELL",113.9,251000,155525
1954,Massachusetts,"CLAM, SOFTSHELL",458,1009700,560050
1954,New Jersey,"CLAM, SOFTSHELL",45,99200,62500
1954,New York,"CLAM, SOFTSHELL",17.4,38300,22049
1954,Rhode Island,"CLAM, SOFTSHELL",4.2,9200,3533
1955,Connecticut,"CLAM, SOFTSHELL",0.3,600,430
1955,Maine,"CLAM, SOFTSHELL",1189.1,2621500,948592
1955,Maryland,"CLAM, SOFTSHELL",586.9,1293800,431300
1955,Massachusetts,"CLAM, SOFTSHELL",463.1,1020900,579598
1955,New Jersey,"CLAM, SOFTSHELL",50.9,112200,70691
1955,New York,"CLAM, SOFTSHELL",15.8,34800,17627
1955,Rhode Island,"CLAM, SOFTSHELL",5,11100,4838
1955,Virginia,"CLAM, SOFTSHELL",7.3,16000,8640
1956,Connecticut,"CLAM, SOFTSHELL",0.1,200,84
1956,Maine,"CLAM, SOFTSHELL",1010.7,2228100,808035
1956,Maryland,"CLAM, SOFTSHELL",1260.8,2779600,926512
1956,Massachusetts,"CLAM, SOFTSHELL",370.2,816100,494200
1956,New Jersey,"CLAM, SOFTSHELL",43.5,96000,36000
1956,New York,"CLAM, SOFTSHELL",70.1,154500,66750
1956,Rhode Island,"CLAM, SOFTSHELL",1.9,4200,1975
1956,Virginia,"CLAM, SOFTSHELL",17.1,37600,15800
1957,Connecticut,"CLAM, SOFTSHELL",0.2,400,197
1957,Maine,"CLAM, SOFTSHELL",890.7,1963700,737518
1957,Maryland,"CLAM, SOFTSHELL",1244.9,2744400,914816
1957,Massachusetts,"CLAM, SOFTSHELL",316.4,697600,451693
1957,New Jersey,"CLAM, SOFTSHELL",56.7,124900,39275
1957,New York,"CLAM, SOFTSHELL",72.4,159700,61632
1957,Rhode Island,"CLAM, SOFTSHELL",1.2,2700,1009
1957,Virginia,"CLAM, SOFTSHELL",10.5,23100,7854
1958,Connecticut,"CLAM, SOFTSHELL",0.1,200,105
1958,Maine,"CLAM, SOFTSHELL",741.2,1634000,599633
1958,Maryland,"CLAM, SOFTSHELL",1776.9,3917400,1305924
1958,Massachusetts,"CLAM, SOFTSHELL",338.5,746300,483964
1958,New Jersey,"CLAM, SOFTSHELL",39.3,86600,27065
1958,New York,"CLAM, SOFTSHELL",93.4,205900,66526
1958,Rhode Island,"CLAM, SOFTSHELL",0.5,1100,437
1958,Virginia,"CLAM, SOFTSHELL",3.2,7100,2698
1959,Maine,"CLAM, SOFTSHELL",658,1450600,547789
1959,Maryland,"CLAM, SOFTSHELL",2032.4,4480700,1424515
1959,Massachusetts,"CLAM, SOFTSHELL",367.3,809700,527035
1959,New Jersey,"CLAM, SOFTSHELL",42.6,94000,39488
1959,New York,"CLAM, SOFTSHELL",118.7,261700,86427
1959,Rhode Island,"CLAM, SOFTSHELL",1.6,3500,1500
1959,Virginia,"CLAM, SOFTSHELL",13.1,28800,8640
1960,Connecticut,"CLAM, SOFTSHELL",0.3,600,346
1960,Maine,"CLAM, SOFTSHELL",940.5,2073500,822810
1960,Maryland,"CLAM, SOFTSHELL",2526,5568800,1593802
1960,Massachusetts,"CLAM, SOFTSHELL",331.7,731300,490668
1960,New Jersey,"CLAM, SOFTSHELL",20.5,45100,18770
1960,New York,"CLAM, SOFTSHELL",69.5,153200,44017
1960,Rhode Island,"CLAM, SOFTSHELL",2.3,5100,3148
1960,Virginia,"CLAM, SOFTSHELL",0.4,900,220
1961,Connecticut,"CLAM, SOFTSHELL",0.2,400,254
1961,Maine,"CLAM, SOFTSHELL",836.7,1844500,793590
1961,Maryland,"CLAM, SOFTSHELL",2128.3,4692000,1231082
1961,Massachusetts,"CLAM, SOFTSHELL",296,652600,450528
1961,New Jersey,"CLAM, SOFTSHELL",9.7,21400,8925
1961,New York,"CLAM, SOFTSHELL",65,143200,37844
1961,Rhode Island,"CLAM, SOFTSHELL",3.2,7000,4320
1961,Virginia,"CLAM, SOFTSHELL",1.2,2700,884
1962,Maine,"CLAM, SOFTSHELL",898.5,1980900,894395
1962,Maryland,"CLAM, SOFTSHELL",3069.7,6767400,1513249
1962,Massachusetts,"CLAM, SOFTSHELL",240.5,530300,367152
1962,New Jersey,"CLAM, SOFTSHELL",7.9,17400,7210
1962,New York,"CLAM, SOFTSHELL",42.3,93300,26905
1962,Rhode Island,"CLAM, SOFTSHELL",2.4,5200,3156
1962,Virginia,"CLAM, SOFTSHELL",1.2,2700,900
1963,Maine,"CLAM, SOFTSHELL",830.8,1831600,786765
1963,Maryland,"CLAM, SOFTSHELL",3111,6858500,1499405
1963,Massachusetts,"CLAM, SOFTSHELL",429.8,947500,605734
1963,New Jersey,"CLAM, SOFTSHELL",7,15400,6392
1963,New York,"CLAM, SOFTSHELL",44.7,98600,27527
1963,Rhode Island,"CLAM, SOFTSHELL",0.6,1400,904
1964,Connecticut,"CLAM, SOFTSHELL",0.1,300,200
1964,Maine,"CLAM, SOFTSHELL",815.6,1798139,826784
1964,Maryland,"CLAM, SOFTSHELL",3703.3,8164300,1667098
1964,Massachusetts,"CLAM, SOFTSHELL",363.4,801200,533131
1964,New Jersey,"CLAM, SOFTSHELL",9.8,21500,8965
1964,New York,"CLAM, SOFTSHELL",82,180800,55677
1964,Rhode Island,"CLAM, SOFTSHELL",28.9,63700,29347
1965,Connecticut,"CLAM, SOFTSHELL",0,100,60
1965,Maine,"CLAM, SOFTSHELL",890.8,1963820,963671
1965,Maryland,"CLAM, SOFTSHELL",3472,7654400,1548310
1965,Massachusetts,"CLAM, SOFTSHELL",478.5,1055000,661744
1965,New Jersey,"CLAM, SOFTSHELL",15.3,33700,14020
1965,New York,"CLAM, SOFTSHELL",93.2,205500,66540
1965,Rhode Island,"CLAM, SOFTSHELL",79.6,175500,80057
1965,Virginia,"CLAM, SOFTSHELL",99.8,220000,46495
1966,Connecticut,"CLAM, SOFTSHELL",0,100,64
1966,Maine,"CLAM, SOFTSHELL",1364.6,3008300,1387246
1966,Maryland,"CLAM, SOFTSHELL",3178.3,7006900,1649563
1966,Massachusetts,"CLAM, SOFTSHELL",474,1045000,681056
1966,New Jersey,"CLAM, SOFTSHELL",34.9,76900,32045
1966,New York,"CLAM, SOFTSHELL",128.1,282400,85666
1966,Rhode Island,"CLAM, SOFTSHELL",46.3,102000,51043
1966,Virginia,"CLAM, SOFTSHELL",180.6,398100,86715
1967,Maine,"CLAM, SOFTSHELL",1440.8,3176300,1478777
1967,Maryland,"CLAM, SOFTSHELL",2364.3,5212300,1610589
1967,Massachusetts,"CLAM, SOFTSHELL",449.1,990000,678331
1967,New Jersey,"CLAM, SOFTSHELL",49.2,108400,45155
1967,New York,"CLAM, SOFTSHELL",120.4,265400,90581
1967,Rhode Island,"CLAM, SOFTSHELL",18.6,41100,22569
1967,Virginia,"CLAM, SOFTSHELL",14,30800,8855
1968,Maine,"CLAM, SOFTSHELL",1511.4,3332000,1388102
1968,Maryland,"CLAM, SOFTSHELL",2530.6,5578900,1869705
1968,Massachusetts,"CLAM, SOFTSHELL",512.4,1129700,788142
1968,New Jersey,"CLAM, SOFTSHELL",41.3,91100,40831
1968,New York,"CLAM, SOFTSHELL",91.4,201500,81879
1968,Rhode Island,"CLAM, SOFTSHELL",14,30900,18770
1968,Virginia,"CLAM, SOFTSHELL",1.3,2900,898
1969,Connecticut,"CLAM, SOFTSHELL",0,100,80
1969,Maine,"CLAM, SOFTSHELL",1875.6,4134900,1752149
