You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : OYSTER, EASTERN,,,,
Year,State,Species,Metric Tons,Pounds,$
1950,Alabama,"OYSTER, EASTERN",939.10,2070300.00,534116.00
1950,California,"OYSTER, EASTERN",7.40,16400.00,16134.00
1950,Connecticut,"OYSTER, EASTERN",1622.70,3577500.00,1121022.00
1950,Delaware,"OYSTER, EASTERN",971.20,2141000.00,911800.00
1950,Florida East Coast,"OYSTER, EASTERN",13.50,29800.00,13410.00
1950,Florida West Coast,"OYSTER, EASTERN",395.90,872700.00,392450.00
1950,Georgia,"OYSTER, EASTERN",139.70,307900.00,76740.00
1950,Louisiana,"OYSTER, EASTERN",3953.30,8715400.00,2842603.00
1950,Maryland,"OYSTER, EASTERN",6534.50,14406000.00,5520892.00
1950,Massachusetts,"OYSTER, EASTERN",103.40,228000.00,130893.00
1950,Mississippi,"OYSTER, EASTERN",230.30,507800.00,195370.00
1950,New Jersey,"OYSTER, EASTERN",3284.90,7241800.00,2897247.00
1950,New York,"OYSTER, EASTERN",3985.70,8786800.00,5799688.00
1950,North Carolina,"OYSTER, EASTERN",599.70,1322100.00,555686.00
1950,Rhode Island,"OYSTER, EASTERN",418.30,922100.00,429240.00
1950,South Carolina,"OYSTER, EASTERN",623.10,1373700.00,336125.00
1950,Texas,"OYSTER, EASTERN",56.80,125300.00,44678.00
1950,Virginia,"OYSTER, EASTERN",7052.30,15547500.00,5573880.00
1951,Alabama,"OYSTER, EASTERN",994.00,2191400.00,761205.00
1951,California,"OYSTER, EASTERN",11.30,25000.00,28460.00
1951,Connecticut,"OYSTER, EASTERN",386.80,852700.00,364522.00
1951,Delaware,"OYSTER, EASTERN",1027.90,2266000.00,1047660.00
1951,Florida East Coast,"OYSTER, EASTERN",12.70,28100.00,15174.00
1951,Florida West Coast,"OYSTER, EASTERN",308.70,680600.00,367522.00
1951,Georgia,"OYSTER, EASTERN",132.80,292700.00,72155.00
1951,Louisiana,"OYSTER, EASTERN",3703.00,8163700.00,1902647.00
1951,Maryland,"OYSTER, EASTERN",6587.10,14521900.00,6692360.00
1951,Massachusetts,"OYSTER, EASTERN",112.50,248100.00,160152.00
1951,Mississippi,"OYSTER, EASTERN",12.50,27600.00,10515.00
1951,New Jersey,"OYSTER, EASTERN",2613.30,5761300.00,2405681.00
1951,New York,"OYSTER, EASTERN",4256.10,9383100.00,6255270.00
1951,North Carolina,"OYSTER, EASTERN",694.90,1531900.00,632122.00
1951,Rhode Island,"OYSTER, EASTERN",394.00,868700.00,490949.00
1951,South Carolina,"OYSTER, EASTERN",875.50,1930200.00,482500.00
1951,Texas,"OYSTER, EASTERN",206.70,455700.00,139339.00
1951,Virginia,"OYSTER, EASTERN",6838.60,15076300.00,5276511.00
