You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : MENHADEN,,,,,
Year,State,Species,Metric Tons,Pounds,$
1950,Connecticut,MENHADEN,19.8,43700,696
1950,Delaware,MENHADEN,68882.1,151857500,1548947
1950,Florida East Coast,MENHADEN,9642.9,21258700,214712
1950,Florida West Coast,MENHADEN,695.8,1534000,15480
1950,Louisiana,MENHADEN,94237,207754900,2326855
1950,Maine,MENHADEN,222.3,490000,2511
1950,Maryland,MENHADEN,497.8,1097400,9946
1950,Massachusetts,MENHADEN,3974.4,8762000,86726
1950,Mississippi,MENHADEN,31547.9,69550400,827650
1950,New Jersey,MENHADEN,62858.8,138578600,1497647
1950,New York,MENHADEN,37426.5,82510400,694529
1950,North Carolina,MENHADEN,56656.5,124904900,1221468
1950,Rhode Island,MENHADEN,3.7,8100,110
1950,South Carolina,MENHADEN,436.1,961400,9037
1950,Texas,MENHADEN,21405.6,47190800,463259
1950,Virginia,MENHADEN,77027.5,169814800,1482721
1951,Connecticut,MENHADEN,31.8,70100,783
1951,Delaware,MENHADEN,75518.8,166488700,1911375
1951,Florida East Coast,MENHADEN,36106.5,79600400,822877
1951,Florida West Coast,MENHADEN,1531,3375300,34828
1951,Louisiana,MENHADEN,95062.1,209574000,2892121
1951,Maine,MENHADEN,686.9,1514300,8610
1951,Maryland,MENHADEN,195.5,430900,4467
1951,Massachusetts,MENHADEN,3269.6,7208100,108217
1951,Mississippi,MENHADEN,52115.8,114894600,1424141
1951,New Jersey,MENHADEN,86139.3,189902600,2179652
1951,New York,MENHADEN,38752.2,85433200,896743
1951,North Carolina,MENHADEN,47179.9,104012900,978562
1951,Rhode Island,MENHADEN,1346.5,2968500,44449
1951,South Carolina,MENHADEN,2030.7,4476900,44769
1951,Texas,MENHADEN,13662.9,30121200,521096
1951,Virginia,MENHADEN,57604.1,126993900,1110508
1952,Connecticut,MENHADEN,44.9,98900,1410
1952,Delaware,MENHADEN,94192.6,207657100,2018102
1952,Florida East Coast,MENHADEN,54559.5,120281800,893943
1952,Florida West Coast,MENHADEN,4870.2,10736800,80554
1952,Louisiana,MENHADEN,128537.2,283373200,2764622
1952,Maine,MENHADEN,274.2,604600,6056
1952,Maryland,MENHADEN,655.2,1444400,13573
1952,Massachusetts,MENHADEN,11784.7,25980600,326050
1952,Mississippi,MENHADEN,51206.7,112890300,1252387
1952,New Jersey,MENHADEN,81401.7,179458200,1606046
1952,New York,MENHADEN,42270.4,93189300,876976
1952,North Carolina,MENHADEN,86791.8,191341300,1626501
1952,Rhode Island,MENHADEN,4265.5,9403800,109719
1952,South Carolina,MENHADEN,1459.7,3218000,23491
1952,Texas,MENHADEN,24033.2,52983600,498064
1952,Virginia,MENHADEN,41245.4,90929700,1123793
1953,Connecticut,MENHADEN,99,218200,2383
1953,Delaware,MENHADEN,163677.6,360843700,3969301
1953,Florida East Coast,MENHADEN,29730.5,65543800,655438
1953,Florida West Coast,MENHADEN,1828.6,4031300,40313
1953,Louisiana,MENHADEN,139477.7,307492500,3689910
1953,Maine,MENHADEN,990.7,2184000,26083
1953,Maryland,MENHADEN,975.6,2150900,20997
1953,Massachusetts,MENHADEN,9202.8,20288400,253572
1953,Mississippi,MENHADEN,26731.6,58932500,618791
1953,New Jersey,MENHADEN,179764.4,396308700,3865694
1953,New York,MENHADEN,45555.2,100431000,1302550
1953,North Carolina,MENHADEN,59922.3,132104700,1387098
1953,Rhode Island,MENHADEN,7795.1,17185000,206398
1953,South Carolina,MENHADEN,769.2,1695800,15262
1953,Texas,MENHADEN,30204.7,66589300,840285
1953,Virginia,MENHADEN,72609.9,160075800,1684786
1954,Connecticut,MENHADEN,31.7,69900,1001
1954,Delaware,MENHADEN,139018.2,306479600,4476741
1954,Florida East Coast,MENHADEN,19055.2,42009200,487308
1954,Florida West Coast,MENHADEN,1.1,2500,29
1954,Louisiana,MENHADEN,122513.8,270094000,3727297
1954,Maine,MENHADEN,2665.5,5876400,47172
1954,Maryland,MENHADEN,1761.4,3883100,41054
1954,Massachusetts,MENHADEN,16236.2,35794400,491486
1954,Mississippi,MENHADEN,36036,79445000,889784
1954,New Jersey,MENHADEN,170917.7,376805100,5127646
1954,New York,MENHADEN,44668.2,98475600,1513766
1954,North Carolina,MENHADEN,72712.1,160301000,2067883
1954,Rhode Island,MENHADEN,8139.6,17944600,222878
1954,South Carolina,MENHADEN,1792.6,3952000,33592
1954,Texas,MENHADEN,23451.9,51702000,692807
1954,Virginia,MENHADEN,129244.6,284932700,3669130
1955,Connecticut,MENHADEN,19.6,43300,553
1955,Delaware,MENHADEN,139470.1,307475800,4091457
1955,Florida East Coast,MENHADEN,16444.8,36254300,354774
1955,Florida West Coast,MENHADEN,877.8,1935100,19430
