You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : SHAD, AMERICAN,,,,
Year,State,Species,Metric Tons,Pounds,$
1950,California,"SHAD, AMERICAN",573.1,1263400,82751
1950,Connecticut,"SHAD, AMERICAN",119.5,263500,47431
1950,Delaware,"SHAD, AMERICAN",46.1,101700,22400
1950,Florida East Coast,"SHAD, AMERICAN",135.1,297900,47664
1950,Georgia,"SHAD, AMERICAN",81.4,179400,55845
1950,Maine,"SHAD, AMERICAN",1.1,2400,76
1950,Maryland,"SHAD, AMERICAN",654.5,1442900,225666
1950,Massachusetts,"SHAD, AMERICAN",12.6,27700,1617
1950,New Jersey,"SHAD, AMERICAN",486.4,1072400,228635
1950,New York,"SHAD, AMERICAN",284.6,627500,104560
1950,North Carolina,"SHAD, AMERICAN",499.1,1100300,339970
1950,Oregon,"SHAD, AMERICAN",593,1307400,86351
1950,Rhode Island,"SHAD, AMERICAN",1,2100,86
1950,South Carolina,"SHAD, AMERICAN",33.3,73400,22754
1950,Virginia,"SHAD, AMERICAN",1375.1,3031500,499423
1950,Washington,"SHAD, AMERICAN",146.2,322300,22558
1951,California,"SHAD, AMERICAN",275,606200,38371
1951,Connecticut,"SHAD, AMERICAN",153.3,338000,61103
1951,Delaware,"SHAD, AMERICAN",49.7,109600,24500
1951,Florida East Coast,"SHAD, AMERICAN",152.3,335800,53728
1951,Georgia,"SHAD, AMERICAN",93.5,206100,72865
1951,Maine,"SHAD, AMERICAN",34.6,76200,3171
1951,Maryland,"SHAD, AMERICAN",705,1554300,264512
1951,Massachusetts,"SHAD, AMERICAN",32.7,72100,4022
1951,New Jersey,"SHAD, AMERICAN",309.6,682500,157813
1951,New York,"SHAD, AMERICAN",209.7,462300,70590
1951,North Carolina,"SHAD, AMERICAN",564.5,1244500,300116
1951,Oregon,"SHAD, AMERICAN",522.5,1152000,81787
1951,Rhode Island,"SHAD, AMERICAN",2.5,5600,168
1951,South Carolina,"SHAD, AMERICAN",43.6,96100,43245
1951,Virginia,"SHAD, AMERICAN",1494.3,3294400,580787
1951,Washington,"SHAD, AMERICAN",99,218200,17406
1952,California,"SHAD, AMERICAN",290.4,640300,47692
1952,Connecticut,"SHAD, AMERICAN",215.1,474100,64176
1952,Delaware,"SHAD, AMERICAN",29.4,64900,17143
1952,Florida East Coast,"SHAD, AMERICAN",92.1,203100,34527
1952,Georgia,"SHAD, AMERICAN",110.2,242900,82210
1952,Maine,"SHAD, AMERICAN",22.9,50500,2840
1952,Maryland,"SHAD, AMERICAN",741.9,1635700,232383
1952,Massachusetts,"SHAD, AMERICAN",22,48500,2847
1952,New Jersey,"SHAD, AMERICAN",636.1,1402300,290676
1952,New York,"SHAD, AMERICAN",350.8,773300,109876
1952,North Carolina,"SHAD, AMERICAN",671,1479200,377091
1952,Oregon,"SHAD, AMERICAN",351,773800,58488
1952,Rhode Island,"SHAD, AMERICAN",2.2,4900,188
1952,South Carolina,"SHAD, AMERICAN",61.6,135700,41130
1952,Virginia,"SHAD, AMERICAN",1817.7,4007400,609070
1952,Washington,"SHAD, AMERICAN",101.9,224600,24193
1953,California,"SHAD, AMERICAN",275.9,608200,42758
1953,Connecticut,"SHAD, AMERICAN",163,359400,50545
1953,Delaware,"SHAD, AMERICAN",27.4,60300,17402
1953,Florida East Coast,"SHAD, AMERICAN",56.1,123600,24720
1953,Georgia,"SHAD, AMERICAN",97.2,214300,78160
1953,Maine,"SHAD, AMERICAN",12.3,27100,1423
1953,Maryland,"SHAD, AMERICAN",657,1448400,222410
1953,Massachusetts,"SHAD, AMERICAN",18.1,39800,558
1953,New Jersey,"SHAD, AMERICAN",307.9,678800,126704
1953,New York,"SHAD, AMERICAN",222.8,491200,67261
1953,North Carolina,"SHAD, AMERICAN",538.8,1187800,292640
1953,Oregon,"SHAD, AMERICAN",264,582100,41775
1953,Rhode Island,"SHAD, AMERICAN",1.8,4000,156
1953,South Carolina,"SHAD, AMERICAN",50,110300,31493
1953,Virginia,"SHAD, AMERICAN",1385.3,3054100,522826
1953,Washington,"SHAD, AMERICAN",75.3,165900,21392
1954,California,"SHAD, AMERICAN",334.5,737500,51845
1954,Connecticut,"SHAD, AMERICAN",134,295400,44460
1954,Delaware,"SHAD, AMERICAN",24.9,54900,7784
1954,Florida East Coast,"SHAD, AMERICAN",127.3,280700,42105
1954,Georgia,"SHAD, AMERICAN",81.6,179900,62966
1954,Maine,"SHAD, AMERICAN",0.9,2000,121
1954,Maryland,"SHAD, AMERICAN",680.8,1500800,186718
1954,Massachusetts,"SHAD, AMERICAN",4,8900,186
1954,New Jersey,"SHAD, AMERICAN",374.9,826400,126540
1954,New York,"SHAD, AMERICAN",320.6,706700,87700
1954,North Carolina,"SHAD, AMERICAN",655.3,1444700,258185
1954,Oregon,"SHAD, AMERICAN",292.2,644100,56683
1954,Rhode Island,"SHAD, AMERICAN",0.8,1700,107
1954,South Carolina,"SHAD, AMERICAN",89,196300,65137
1954,Virginia,"SHAD, AMERICAN",1437.5,3169200,585802
1954,Washington,"SHAD, AMERICAN",69.4,152900,13791
1955,California,"SHAD, AMERICAN",217,478500,29282
1955,Connecticut,"SHAD, AMERICAN",95.3,210200,30142
1955,Delaware,"SHAD, AMERICAN",14.5,32000,7220
1955,Florida East Coast,"SHAD, AMERICAN",230.3,507700,60924
1955,Georgia,"SHAD, AMERICAN",71.8,158400,47520
1955,Maine,"SHAD, AMERICAN",3,6600,315
1955,Maryland,"SHAD, AMERICAN",664.2,1464300,211592
1955,Massachusetts,"SHAD, AMERICAN",17,37400,819
1955,New Jersey,"SHAD, AMERICAN",601.7,1326500,197668
1955,New York,"SHAD, AMERICAN",279,615000,82299
1955,North Carolina,"SHAD, AMERICAN",294.4,649000,159619
1955,Oregon,"SHAD, AMERICAN",268.8,592600,55193
1955,Rhode Island,"SHAD, AMERICAN",2.4,5300,724
1955,South Carolina,"SHAD, AMERICAN",40,88200,27342
1955,Virginia,"SHAD, AMERICAN",1587.8,3500500,595287
1955,Washington,"SHAD, AMERICAN",71.6,157900,14119
1956,California,"SHAD, AMERICAN",195.5,431100,27279
1956,Connecticut,"SHAD, AMERICAN",89.2,196700,27585
1956,Delaware,"SHAD, AMERICAN",5.3,11600,4060
1956,Florida East Coast,"SHAD, AMERICAN",170.5,375800,45096
1956,Georgia,"SHAD, AMERICAN",76.3,168200,50460
1956,Maine,"SHAD, AMERICAN",0.9,2000,109
1956,Maryland,"SHAD, AMERICAN",948.9,2092000,259823
1956,Massachusetts,"SHAD, AMERICAN",328.3,723700,6823
1956,New Jersey,"SHAD, AMERICAN",597.1,1316400,138625
1956,New York,"SHAD, AMERICAN",319.2,703700,63644
1956,North Carolina,"SHAD, AMERICAN",350.7,773200,193300
1956,Oregon,"SHAD, AMERICAN",234.1,516100,54394
1956,Rhode Island,"SHAD, AMERICAN",0.6,1300,84
1956,South Carolina,"SHAD, AMERICAN",52.6,115900,40565
1956,Virginia,"SHAD, AMERICAN",1447.4,3190900,450742
1956,Washington,"SHAD, AMERICAN",64.3,141700,14083
1957,California,"SHAD, AMERICAN",203.2,448000,34537
1957,Connecticut,"SHAD, AMERICAN",149.1,328600,46819
1957,Delaware,"SHAD, AMERICAN",1.5,3400,680
1957,Florida East Coast,"SHAD, AMERICAN",163.7,360800,46904
1957,Florida West Coast,"SHAD, AMERICAN",0.1,200,15
1957,Georgia,"SHAD, AMERICAN",112.1,247100,74130
1957,Maine,"SHAD, AMERICAN",3.4,7600,416
1957,Maryland,"SHAD, AMERICAN",1068.6,2355900,298947
1957,Massachusetts,"SHAD, AMERICAN",1004.4,2214200,30536
1957,New Jersey,"SHAD, AMERICAN",627.6,1383700,147828
1957,New York,"SHAD, AMERICAN",284,626000,61749
1957,North Carolina,"SHAD, AMERICAN",379.7,837000,209250
1957,Oregon,"SHAD, AMERICAN",155.1,342000,29127
1957,Rhode Island,"SHAD, AMERICAN",2,4500,206
1957,South Carolina,"SHAD, AMERICAN",36.2,79800,25486
1957,Virginia,"SHAD, AMERICAN",1323.7,2918300,486403
1957,Washington,"SHAD, AMERICAN",30.9,68100,6742
1958,Connecticut,"SHAD, AMERICAN",207,456300,61241
1958,Delaware,"SHAD, AMERICAN",26.6,58600,6497
1958,Florida East Coast,"SHAD, AMERICAN",267.4,589400,64834
1958,Florida West Coast,"SHAD, AMERICAN",2.2,4800,528
1958,Georgia,"SHAD, AMERICAN",144.3,318200,95450
1958,Maine,"SHAD, AMERICAN",4.6,10100,544
1958,Maryland,"SHAD, AMERICAN",862,1900400,301393
1958,Massachusetts,"SHAD, AMERICAN",192.6,424700,6787
1958,New Jersey,"SHAD, AMERICAN",437.4,964200,131232
1958,New York,"SHAD, AMERICAN",292.3,644500,74758
1958,North Carolina,"SHAD, AMERICAN",223.5,492800,123200
1958,Oregon,"SHAD, AMERICAN",203.6,448800,39046
1958,Rhode Island,"SHAD, AMERICAN",1,2100,67
1958,South Carolina,"SHAD, AMERICAN",32.3,71300,22814
1958,Virginia,"SHAD, AMERICAN",1022.3,2253700,404858
1958,Washington,"SHAD, AMERICAN",43.4,95600,10657
1959,Connecticut,"SHAD, AMERICAN",181.8,400800,51858
1959,Delaware,"SHAD, AMERICAN",12.8,28300,3898
1959,Florida East Coast,"SHAD, AMERICAN",244.7,539500,64740
1959,Georgia,"SHAD, AMERICAN",177.2,390700,121086
1959,Maine,"SHAD, AMERICAN",0.7,1600,97
1959,Maryland,"SHAD, AMERICAN",671.7,1480800,182851
1959,Massachusetts,"SHAD, AMERICAN",627.4,1383100,20685
1959,New Jersey,"SHAD, AMERICAN",462,1018600,121566
1959,New York,"SHAD, AMERICAN",304.9,672200,79161
1959,North Carolina,"SHAD, AMERICAN",189.9,418600,104650
1959,Oregon,"SHAD, AMERICAN",149.6,329800,30809
1959,Rhode Island,"SHAD, AMERICAN",1.4,3000,210
1959,South Carolina,"SHAD, AMERICAN",36.5,80400,25728
1959,Virginia,"SHAD, AMERICAN",804.7,1774000,306688
1959,Washington,"SHAD, AMERICAN",25.6,56400,5005
1960,Connecticut,"SHAD, AMERICAN",181.4,399900,66357
1960,Delaware,"SHAD, AMERICAN",17.2,38000,5790
1960,Florida East Coast,"SHAD, AMERICAN",212.4,468200,60866
1960,Georgia,"SHAD, AMERICAN",241.9,533400,176082
1960,Maine,"SHAD, AMERICAN",0.1,300,21
1960,Maryland,"SHAD, AMERICAN",604.7,1333100,206480
1960,Massachusetts,"SHAD, AMERICAN",13,28600,4871
1960,New Jersey,"SHAD, AMERICAN",354.1,780600,124153
1960,New York,"SHAD, AMERICAN",189.4,417500,67085
1960,North Carolina,"SHAD, AMERICAN",229.8,506700,126675
1960,Oregon,"SHAD, AMERICAN",181.4,400000,29158
1960,Rhode Island,"SHAD, AMERICAN",1.4,3100,220
1960,South Carolina,"SHAD, AMERICAN",48.1,106000,33920
1960,Virginia,"SHAD, AMERICAN",611.8,1348700,234173
1960,Washington,"SHAD, AMERICAN",25.5,56300,4798
1961,Connecticut,"SHAD, AMERICAN",210.2,463400,79216
1961,Delaware,"SHAD, AMERICAN",40.7,89700,13455
1961,Florida East Coast,"SHAD, AMERICAN",192.9,425300,69749
1961,Georgia,"SHAD, AMERICAN",183.3,404200,92966
1961,Maryland,"SHAD, AMERICAN",823.1,1814600,288522
1961,Massachusetts,"SHAD, AMERICAN",36.2,79900,1593
1961,New Jersey,"SHAD, AMERICAN",287.2,633100,110046
1961,New York,"SHAD, AMERICAN",137.3,302700,45490
1961,North Carolina,"SHAD, AMERICAN",305.4,673200,168300
1961,Oregon,"SHAD, AMERICAN",344.6,759800,101928
1961,Rhode Island,"SHAD, AMERICAN",2,4400,259
1961,South Carolina,"SHAD, AMERICAN",49.7,109500,35040
1961,Virginia,"SHAD, AMERICAN",602.9,1329200,221972
1961,Washington,"SHAD, AMERICAN",75.9,167300,14907
1962,Connecticut,"SHAD, AMERICAN",206.7,455800,80571
1962,Delaware,"SHAD, AMERICAN",53.7,118400,15122
1962,Florida East Coast,"SHAD, AMERICAN",344.6,759800,80539
1962,Georgia,"SHAD, AMERICAN",239.1,527200,131800
1962,Maine,"SHAD, AMERICAN",0,100,3
1962,Maryland,"SHAD, AMERICAN",714.6,1575400,202996
1962,Massachusetts,"SHAD, AMERICAN",3,6600,538
1962,New Jersey,"SHAD, AMERICAN",217.5,479600,72833
